latency_ms,rssi_dbm,snr_db,band,channel_util%,num_assoc_devices,client_speed_mbps,ap_vendor,protocol,distance_m
124.6,-62,11,2.4 GHz,45,13,150,Cisco,ax,25.0
161.8,-72,51,2.4 GHz,99,19,72,Ubiquiti,ac,11.3
111.9,-67,17,5 GHz,14,18,866,TP‑Link,ac,28.8
102.3,-78,54,2.4 GHz,81,2,150,TP‑Link,n,22.2
174.0,-71,40,5 GHz,32,22,600,Ubiquiti,ac,21.7
107.7,-63,21,2.4 GHz,85,29,300,Aruba,ac,27.4
137.3,-79,23,2.4 GHz,53,5,866,Cisco,n,23.5
129.5,-39,53,2.4 GHz,2,17,72,Cisco,ac,3.2
173.9,-41,34,2.4 GHz,11,11,433,Aruba,ac,14.8
92.0,-42,39,2.4 GHz,82,19,72,Ubiquiti,ax,12.6
209.8,-90,35,5 GHz,79,18,72,Cisco,ac,13.9
78.6,-63,16,2.4 GHz,22,17,300,Cisco,ac,9.9
142.6,-47,11,2.4 GHz,64,5,433,Cisco,n,8.2
132.9,-71,5,5 GHz,51,21,866,TP‑Link,ac,17.2
74.4,-78,25,2.4 GHz,6,20,72,Aruba,ac,22.8
149.8,-57,39,5 GHz,70,20,433,Aruba,ac,7.2
96.2,-90,20,5 GHz,16,6,600,TP‑Link,ax,9.7
60.6,-57,16,5 GHz,41,24,866,Aruba,n,20.6
161.1,-66,24,2.4 GHz,1,7,150,Cisco,ac,20.7
48.3,-53,16,2.4 GHz,25,5,72,Aruba,ac,4.4
67.3,-53,26,2.4 GHz,93,10,866,TP‑Link,ax,4.2
111.1,-61,32,2.4 GHz,50,5,866,TP‑Link,ac,15.9
173.2,-58,18,2.4 GHz,72,10,150,Ubiquiti,ac,25.4
155.3,-89,6,2.4 GHz,30,7,72,Cisco,ax,8.2
123.4,-37,10,2.4 GHz,5,3,433,Cisco,ac,30.0
40.2,-86,25,5 GHz,61,28,150,Cisco,n,30.0
76.5,-37,13,5 GHz,24,20,433,Cisco,ac,18.9
86.8,-37,44,2.4 GHz,11,11,72,TP‑Link,ac,28.9
59.0,-51,13,5 GHz,49,12,866,TP‑Link,ac,13.0
35.1,-49,6,5 GHz,41,10,300,TP‑Link,n,16.0
114.3,-89,35,2.4 GHz,12,22,72,Cisco,ac,21.7
158.2,-38,36,5 GHz,59,7,150,TP‑Link,ac,4.0
82.8,-61,38,5 GHz,45,3,433,Cisco,ac,23.5
171.9,-72,12,5 GHz,99,14,600,Ubiquiti,n,28.2
45.1,-54,39,5 GHz,9,7,72,Aruba,ac,18.0
57.0,-61,48,2.4 GHz,50,27,600,Cisco,ac,8.1
112.9,-71,35,2.4 GHz,79,11,866,Cisco,n,5.6
78.7,-73,24,5 GHz,43,20,150,TP‑Link,ac,8.1
150.6,-84,29,2.4 GHz,21,12,433,TP‑Link,ac,7.6
136.4,-41,45,2.4 GHz,98,6,600,Aruba,ac,26.1
82.0,-54,12,5 GHz,33,10,866,Aruba,ac,5.8
47.5,-75,41,5 GHz,92,25,72,Cisco,n,29.2
76.6,-51,18,5 GHz,84,3,866,Cisco,ac,23.8
138.4,-52,48,2.4 GHz,67,28,72,Ubiquiti,ax,22.5
154.1,-83,11,2.4 GHz,77,1,433,TP‑Link,n,19.3
78.9,-81,30,2.4 GHz,54,21,72,Cisco,ax,3.3
35.0,-78,25,5 GHz,67,21,72,Cisco,ac,22.1
43.8,-85,29,2.4 GHz,27,18,150,TP‑Link,n,12.7
131.9,-45,24,5 GHz,6,2,72,Aruba,n,5.5
81.2,-82,6,5 GHz,62,20,72,Cisco,n,25.3
82.4,-46,47,2.4 GHz,80,3,150,Aruba,ac,11.3
56.4,-61,31,5 GHz,83,22,72,Aruba,n,18.9
55.8,-84,35,2.4 GHz,76,23,300,TP‑Link,ac,6.4
170.2,-44,31,2.4 GHz,98,25,150,Ubiquiti,ax,5.6
134.6,-81,31,2.4 GHz,59,12,433,Aruba,ax,14.5
70.6,-36,35,2.4 GHz,17,20,866,TP‑Link,ac,3.2
108.1,-90,25,5 GHz,21,6,72,TP‑Link,ac,19.2
119.3,-56,11,2.4 GHz,28,16,866,TP‑Link,n,4.2
255.4,-73,6,5 GHz,97,21,433,Ubiquiti,n,16.6
53.2,-61,31,2.4 GHz,88,6,866,Cisco,n,12.1
118.4,-44,14,2.4 GHz,72,25,300,TP‑Link,ax,11.1
169.7,-47,27,5 GHz,86,11,72,Cisco,ac,23.5
238.0,-75,35,5 GHz,34,27,150,Aruba,n,15.3
68.5,-87,34,5 GHz,71,3,72,TP‑Link,ac,7.4
80.6,-75,13,5 GHz,17,7,866,Ubiquiti,n,12.8
151.4,-46,38,2.4 GHz,11,22,433,Cisco,ac,12.8
39.9,-62,52,2.4 GHz,64,6,866,TP‑Link,n,16.8
125.3,-49,23,2.4 GHz,70,29,433,Aruba,ac,20.1
310.1,-63,10,5 GHz,59,28,866,TP‑Link,ac,10.6
133.0,-61,30,2.4 GHz,47,3,150,Ubiquiti,ac,10.8
27.6,-87,35,2.4 GHz,60,25,150,Ubiquiti,n,24.2
61.1,-89,24,2.4 GHz,37,13,600,Aruba,ac,7.0
69.7,-52,34,2.4 GHz,30,25,600,Ubiquiti,ac,20.3
192.8,-79,43,5 GHz,25,21,866,Aruba,n,29.7
93.5,-71,33,2.4 GHz,37,10,866,Cisco,n,23.9
35.2,-70,44,5 GHz,32,1,150,Ubiquiti,ac,9.5
99.9,-56,12,2.4 GHz,16,10,600,Aruba,ac,2.9
112.0,-39,19,5 GHz,54,13,866,Ubiquiti,ac,10.1
75.1,-49,32,2.4 GHz,41,16,150,Ubiquiti,ax,2.1
55.3,-55,17,2.4 GHz,17,24,72,Cisco,ax,18.4
330.1,-45,54,2.4 GHz,90,24,433,TP‑Link,ac,14.8
170.0,-62,38,2.4 GHz,51,9,300,Ubiquiti,n,18.8
179.1,-83,25,5 GHz,15,6,600,Cisco,n,24.2
93.6,-64,43,5 GHz,5,20,150,Aruba,ac,8.5
67.8,-37,54,2.4 GHz,9,22,300,Ubiquiti,ax,12.4
77.3,-48,5,2.4 GHz,41,18,433,Ubiquiti,ax,14.9
45.1,-71,32,2.4 GHz,24,18,433,Aruba,ac,23.5
252.5,-73,26,5 GHz,96,21,72,Aruba,ac,14.7
95.9,-40,42,2.4 GHz,47,12,72,Cisco,n,7.9
219.3,-85,20,2.4 GHz,74,7,433,Ubiquiti,ac,27.1
79.5,-39,21,2.4 GHz,25,23,300,Ubiquiti,n,3.8
134.2,-53,43,5 GHz,7,5,150,Ubiquiti,n,19.9
115.7,-46,49,2.4 GHz,34,2,600,Aruba,ac,10.6
42.5,-72,12,5 GHz,69,1,300,Aruba,n,15.7
271.5,-55,35,5 GHz,76,12,433,Aruba,ac,29.1
81.0,-73,43,2.4 GHz,20,14,600,Aruba,ac,18.6
50.4,-90,13,2.4 GHz,30,16,600,Cisco,ax,20.8
152.1,-65,38,2.4 GHz,47,6,300,Cisco,ax,20.2
103.0,-37,53,5 GHz,35,13,72,TP‑Link,ac,22.1
127.1,-77,47,2.4 GHz,30,19,433,Aruba,ac,14.4
109.3,-82,14,2.4 GHz,98,9,150,Cisco,ac,2.5
28.7,-40,54,2.4 GHz,93,16,866,Aruba,n,26.9
59.9,-40,22,5 GHz,36,8,866,Ubiquiti,ac,17.7
58.5,-44,28,5 GHz,6,25,866,Aruba,ax,27.6
177.5,-37,19,2.4 GHz,36,13,600,Ubiquiti,ac,22.6
105.3,-36,39,5 GHz,88,24,866,TP‑Link,n,23.1
139.0,-40,11,2.4 GHz,90,10,866,Aruba,n,20.3
83.9,-37,40,2.4 GHz,70,11,150,TP‑Link,n,28.9
143.1,-50,7,2.4 GHz,67,22,433,TP‑Link,ac,24.2
93.8,-73,47,5 GHz,36,9,300,Cisco,ac,14.2
89.7,-65,21,5 GHz,44,21,72,Aruba,n,9.7
115.3,-70,30,2.4 GHz,88,3,600,Aruba,ac,13.1
109.3,-62,16,2.4 GHz,22,25,72,TP‑Link,ac,7.1
394.3,-52,10,2.4 GHz,41,22,866,Cisco,ax,8.7
59.5,-77,6,2.4 GHz,87,17,600,Cisco,n,6.5
40.1,-90,53,2.4 GHz,70,15,150,Aruba,ac,3.6
125.4,-57,11,2.4 GHz,11,11,72,TP‑Link,n,13.0
64.6,-36,7,2.4 GHz,78,10,866,Aruba,ac,23.3
27.4,-43,30,2.4 GHz,7,10,600,Cisco,n,3.9
51.8,-90,53,2.4 GHz,29,21,300,Cisco,n,20.0
343.0,-58,9,2.4 GHz,92,6,600,Cisco,n,29.4
58.6,-61,17,5 GHz,8,8,600,Cisco,ac,14.7
33.6,-67,32,2.4 GHz,19,12,433,Ubiquiti,n,9.7
330.2,-54,29,5 GHz,86,14,433,Aruba,ax,19.4
